key,source,target
/meta_crew_promotion_skills,<small>Боевые навыки</> <darksmall>улучшились</> ,
/meta_crew_promotion_equipment,<small>{Equipment}: </><darksmall>можно использовать</>,
/meta_crew_promotion_perk,<darksmall>Получена способность:</> <small>{Perk}</>,<darksmall>Получена особенность:</> <small>{Perk}</>
/meta_crew_promotion_perk-upgrade,<darksmall>Улучшена способность:</> <small>{Perk}</>,<darksmall>Улучшена особенность:</> <small>{Perk}</>
/meta_crew_promotion_hp,<darksmall>Здоровье увеличено на</> <small>{value}</>,
/meta_crew_heister_characterbio,Подробности,
/meta_crew_assign_crew,Назначить команду,
/meta_crew_heister_purchasable,Доступно для найма,
/meta_crew_generic_purchasable_title,Доступно для покупки,
/meta_crew_weapon_purchasable_title,Доступно для покупки,
/meta_crew_lobby_bosswarning,Бейкер выбран,
/meta_crew_loadout_buymore,"Купить
еще",
/meta_crew_weapon_buyback,Выкупить!,
/hint_tuj_heisterswitch,Смена персонажа,
/hint_tuj_confirm,Подтвердить,
/hint_tuj_crouch,Приседание,
/hint_tuj_scream,Контроль гражданских,
/hint_tuj_destroycamera,Разрушение предметов,
/meta_crew_heister_details,Подробная информация,
/hint_tuj_cameracontroller,Отключение камер,
/meta_crew_heister_fire,Уволить персонажа,
/hint_tut_dropping,Бросить предмет,
/meta_crew_tier_3,Элитный персонаж,
/hint_tuj_equipgundescription,"Нажмите <action id=""MountSlot2""/>, чтобы снарядить дополнительное оружие","Нажмите <action id=""MountSlot2""/>, чтобы взять в руки дополнительное оружие"
/hint_tuj_escape,Эвакуация,
/meta_crew_weapon_buyback_lastday,Исчезнет через 1 задание!,
/meta_crew_weapon_buyback_expire,"Исчезнет через {count} {count}|plural(one=задание,few=задания,other=заданий)!","Исчезнет через {count} {count}|plural(one=задание,few=задания,many=заданий,other=заданий)!"
/hint_tuj_equipgun,Снаряжение,
/hint_tuj_equipcrowbar,Снаряжение,
/hint_tuj_jump,Преодоление препятствий,
/meta_crew_heister_health,Здоровье,
/hint_tut_holster,Убрать оружие,
/hint_tuj_hint,Совет — {Title},
/meta_crew_hired,Нанят,
/hint_tut_ping-loot_description,"Удерживайте <action id=""Ping""/>, чтобы отметить добычу, которую нужно забрать.",
/hint_tut_ping-guard_description,"Удерживайте <action id=""Ping""/>, чтобы отметить охранника, которого нужно вырубить.",
/hint_tut_flashlightdescription,"Удерживайте <action id=""Reload""/>, чтобы включить/выключить фонарик.",
/hint_tut_holsterdescription_controller,"Удерживайте <action id=""SwitchHolsterWeapon""/>, чтобы зачехлить оружие.","Удерживайте <action id=""SwitchHolsterWeapon""/>, чтобы убрать оружие."
/hint_tuj_escapedescription,"Чтобы эвакуироваться, удерживайте <action id=""Use""/> около любой передней двери фургона.",
/hint_tuj_ziptiedescription,"Удерживайте <action id=""Use""/>, чтобы связать врага, которого вырубили.",
/hint_tuj_heisterswitchdescription,"Удерживайте <action id=""WheelMenu""/>, чтобы открыть меню персонажей. Отпустите, чтобы переключиться на выбранного персонажа.",
/crew_start_hold,"Удерживайте, чтобы начать задание",
/meta_crew_how_to_unlock,Инструкция по разблокировке,
/hint_tut_dash,Мегарывок,
/hint_tuj_strikesdescription,"Если кто-то застукает вас за подозрительным занятием, вы будете считаться обнаруженным, а в особо серьезных случаях могут сразу поднять тревогу.",
/meta_crew_heister_loadout,Экипировка,
/meta_crew_locked_title-short,Заблокировано,
/meta_crew_locked_title-long,Заблокированный персонаж,
/hint_tuj_picklock,Взлом замков,
/hint_tuj_destroycases,Добыча,
/hint_tut_ping,Отметка,
/meta_crew_heister_missoncut_plain,Доля от задания,
/meta_crew_heister_missioncut,Доля от задания: {0}%,
/hint_tuj_picklockstartdescription,"Перемещайте отмычку, пока не найдете нужное место. Затем нажмите <action id=""ShootPrimary""/>, чтобы зафиксировать штифт.",
/meta_crew_no_equipment_available,Нет доступного снаряжения,
/meta_crew_no_weapon_available,Нет доступного оружия,
/meta_crew_generic_owned_title,Имеется,
/meta_crew_weapon_owned_title,Имеется,
/meta_perk_effect,Описание особенности,
/meta_crew_heister_perks,Особенности,
/hint_tut_powerslam,Удар с воздуха,
/hint_tuj_destroycamerawithgundescription,"Нажмите <action id=""Bash""/>, чтобы сломать камеру оружием",
/hint_tuj_destroycameradescription,"Нажмите <action id=""Bash""/>, чтобы сломать камеру.",
/hint_tuj_destroycasesdestriction,"Удерживайте <action id=""Bash""/>, чтобы сломать кейсы с ценностями. Удерживайте <action id=""Use""/>, чтобы забрать добычу.","Нажмите <action id=""Bash""/>, чтобы сломать контейнер с добычей. Затем соберите её, удерживая <action id=""Use""/>."
/hint_tut_stealthkilldescription,"Пока вас не замечают, нажмите <action id=""Bash""/> за спиной у врага, чтобы устранить его, не привлекая внимания ",
/hint_tut_powerslamdescription,"Нажмите <action id=""Crouch""/> в воздухе, чтобы с силой приземлиться, создав наносящую ударную волну. ",
/hint_tuj_crouchdescription,"Нажмите <action id=""Crouch""/>, чтобы присесть.",
/hint_tut_retrievelootdescription,"Нажмите <action id=""DropWieldable""/> рядом с кузовом фургона, чтобы закидывать туда сумки.","Нажмите <action id=""DropWieldable""/> рядом с кузовом фургона, чтобы закидывать в него сумки."
/hint_tut_droppingdescription,"Нажмите <action id=""DropWieldable""/>, чтобы бросить активный предмет.","Нажмите <action id=""DropWieldable""/>, чтобы бросить переносимый предмет."
/hint_tut_dashdescription,"Нажмите <action id=""Jump""/> в воздухе, чтобы сделать быстрый рывок вперед.",
/hint_tuj_jumpdescription,"Нажмите <action id=""Jump""/>, чтобы перепрыгнуть или перелезть через препятствие.",
/hint_tuj_equipcrowbardescription,"Нажмите <action id=""MountSlot1""/>, чтобы взять монтировку",
/hint_tuj_pingdescription,"Нажмите <action id=""Ping""/>, глядя на врага или предмет, чтобы отметить их для союзников.",
/hint_tuj_screamdescription,"Нажмите <action id=""Shout""/>, чтобы угрожать гражданским. Затем удерживайте <action id=""Use""/>, чтобы их связать.",
/hint_tut_holsterdescription,"Нажмите <action id=""SwitchHolsterWeapon""/>, чтобы зачехлить оружие.","Нажмите <action id=""SwitchHolsterWeapon""/>, чтобы убрать оружие."
/hint_tuj_cameracontrollerdescription,"Нажмите <action id=""Use""/>, чтобы перехватить контроль над системой охраны. Затем удерживайте <action id=""Use""/>, чтобы отключить камеры.",
/hint_tut_subduedescription,"Нажмите <action id=""Use""/> за спиной у врага, чтобы вырубить его.",
/hint_tuj_followalldescription1,"Нажмите <action id=""WheelMenu""/> и удерживайте <action id=""BotFollow""/>, чтобы приказать товарищам следовать за вами.",
/meta_crew_heister_progression,Прогресс,
/meta_crew_promotion_promotioncomplete,Повышение завершено,
/meta_crew_promotion_text,"С повышением персонажа растет его здоровье и улучшаются боевые навыки. Персонаж приобретает новые способности или развивает имеющиеся, а также получает новое снаряжение.",
/meta_crew_promotion_title,Награды повышения,
/meta_crew_heister_refresh,Обновить персонажей для найма,
/meta_crew_weapon_refresh,Обновить оружие для продажи,
/meta_crew_lobby_requiredslot,Требуется,
/hint_tut_revives,Оживление,
/meta_crew_revive_count,Оживления (x{count}),
/meta_crew_tier_1,Персонаж-салага,
/hint_tut_retrieveloot,Вывоз добычи,
/hint_tuj_shooting,Стрельба,
/hint_tuj_shootingdescription,"Если начать стрельбу без глушителя на публике, вы привлечете внимание врагов поблизости и правоохранительных органов.",
/meta_crew_lobby_start,Начать задание,
/meta_crew_heister_stats,Статистика,
/hint_tut_stealthkill,Тихое устранение,
/hint_tut_subdue,Вырубить врага,
/hint_tuj_guardscream,Вырубить и связать охранника,
/hint_tuj_strikes,Предупреждения,
/meta_crew_weapon_switch-equipment,Сменить снаряжение,
/meta_crew_weapon_switch,Сменить оружие,
/meta_crew_weapon_take-equipment,Взять снаряжение у грабителя {Heister},
/meta_crew_weapon_take,Взять оружие у грабителя {Heister},
/meta_crew_heister_owned_title,Команда,
/hint_tuj_followall,Приказы команде,
/hint_tut_ping-guard,Приказы команде,
/meta_crew_heister_title,Обзор команды,
/hint_tut_revives_count,"Значок рядом со шкалой здоровья указывает, сколько раз вас можно оживить",
/meta_crew_heister_unique,Уникальные предметы,
/hint_tut_cameradescription,"<action id=""Ability1""/> позволяет сделать фото.",
/hint_tuj_followalldescription2,Команда «За мной» поможет быстро сменить дислокацию.,
/hint_tut_camera,Съемка на камеру,
/hint_tut_flashlight,Фонарик,
/meta_crew_tier_2,Персонаж-ветеран,
/meta_crew_weapon_title,Обзор оружия,
/meta_crew_weapon_buyback_title,Восстановление оружия,
/meta_xp,Опыт,
/hint_tuj_guardscreamdescription,"Если противник вас не замечает, его можно вырубить. Для этого нажмите <action id=""Use""/> рядом с ним. Затем удерживайте <action id=""Use""/>, чтобы его связать.",
/hint_tuj_ziptie,Связывание,
/meta_crew_heister_missioncut_percentage,{0}%,
/meta_crew_heister_revive,{Current}/{Overall},
/meta_crew_heister_fullname,{Name} {Surname},
ST_99p_Cutscenes/meta_99p_HeliCrew_choice,Хотите оплатить вертолет для задания на штурм Канали?,
ST_99p_Cutscenes/meta_99p_MissilesTrade_choice,Хотите приобрести ракеты для задания на штурм Канали?,
ST_99p_Cutscenes/meta_99p_upgrade_postpone,Позже дам знать.,
ST_99p_Cutscenes/meta_99p_favor,Воспользоваться услугой,
ST_99p_Cutscenes/meta_99p_UpgradeArmy_choice,Хотите оснастить свою армию лучшим снаряжением?,
ST_99p_MIssions/meta_99p_99problems_title,99 бед,99 проблем
ST_99p_MIssions/meta_99p_distraction_title,Отвлекающий маневр,
ST_99p_MIssions/meta_99p_distraction_description,"Напасть на территорию Канали, чтобы отвлечь и разделить ее силы.",
ST_99p_MIssions/meta_99p_weaponstorage_description,"Взорвать укрепленный паркинг, где Канали хранит вооружение.",
ST_99p_MIssions/meta_99p_weaponstorage_task,Уничтожить оружейный склад,
