key,source,target
/meta_crew_promotion_skills,"<small>Combat skills</> <darksmall>improved</> ",
/meta_crew_promotion_equipment,<small>{Equipment}</> <darksmall>available to use</>,
/meta_crew_promotion_perk,<small>{Perk}</> <darksmall>perk added</>,
/meta_crew_promotion_perk-upgrade,<small>{Perk}</> <darksmall>perk upgraded</>,
/meta_crew_promotion_hp,<small>{value}</> <darksmall>more health</>,
/meta_crew_heister_characterbio,About,
/meta_crew_assign_crew,Assign team,
/meta_crew_heister_purchasable,Available for hire,
/meta_crew_generic_purchasable_title,Available for purchase,
/meta_crew_weapon_purchasable_title,Available for purchase,
/meta_crew_lobby_bosswarning,Baker selected,
/meta_crew_loadout_buymore,"Buy
More",
/meta_crew_weapon_buyback,Buy-back!,
/hint_tuj_heisterswitch,Character switch,
/hint_tuj_confirm,Confirm,
/hint_tuj_crouch,Crouching,
/hint_tuj_scream,Crowd control,
/hint_tuj_destroycamera,Destroying objects,
/meta_crew_heister_details,Detailed info,
/hint_tuj_cameracontroller,Disabling cameras,
/meta_crew_heister_fire,Dismiss character,
/hint_tut_dropping,Dropping objects,
/meta_crew_tier_3,Elite character,
/hint_tuj_equipgundescription,"Equip your sidearm by pressing <action id=""MountSlot2""/>",
/hint_tuj_escape,Escape,
/meta_crew_weapon_buyback_lastday,Expires in 1 mission!,
/meta_crew_weapon_buyback_expire,"Expires in {count} {count}|plural(one=mission,other=missions)!",
/hint_tuj_equipgun,Gear Up,
/hint_tuj_equipcrowbar,Gear up,
/hint_tuj_jump,Getting over obstacles,
/meta_crew_heister_health,Health,
/hint_tut_holster,Hiding weapons,
/hint_tuj_hint,Hint - {Title},
/meta_crew_hired,Hired,
/hint_tut_ping-loot_description,"Hold <action id=""Ping""/> to mark loot for your teammate to collect.",
/hint_tut_ping-guard_description,"Hold <action id=""Ping""/> to mark the guard to be subdued.",
/hint_tut_flashlightdescription,"Hold <action id=""Reload""/> to toggle the flashlight",
/hint_tut_holsterdescription_controller,"Hold <action id=""SwitchWeapon""/> to holster the weapon.",
/hint_tuj_escapedescription,"Hold <action id=""Use""/> on one of the van's front doors to escape.",
/hint_tuj_ziptiedescription,"Hold <action id=""Use""/> to zip tie subdued individuals.",
/hint_tuj_heisterswitchdescription,"Hold <action id=""WheelMenu""/> to open the character menu. Then release it to switch to selected character.",
/crew_start_hold,Hold to start mission,
/meta_crew_how_to_unlock,How to unlock,
/hint_tuj_strikesdescription,"If you are seen doing something suspicious, you will be given a strike. More serious offenses will alert the authorities immediately.",
/meta_crew_heister_loadout,Loadout,
/meta_crew_locked_title-short,Locked,
/meta_crew_locked_title-long,Locked character,
/hint_tuj_picklock,Lockpicking,
/hint_tuj_destroycases,Looting,
/hint_tut_ping,Marking,
/meta_crew_heister_missoncut_plain,Mission cut,
/meta_crew_heister_missioncut,Mission cut {0}%,
/hint_tuj_picklockstartdescription,"Move the lockpick until you find the sweet spot. Then press <action id=""ShootPrimary""/> to secure the pin.",
/meta_crew_no_equipment_available,No equipment available,
/meta_crew_no_weapon_available,No weapons available,
/meta_crew_generic_owned_title,Owned,
/meta_crew_weapon_owned_title,Owned,
/meta_perk_effect,Perk description,
/meta_crew_heister_perks,Perks,
/hint_tuj_destroycamerawithgundescription,"Press <action id=""Bash""/> to destroy camera with a gun",
/hint_tuj_destroycameradescription,"Press <action id=""Bash""/> to destroy the camera.",
/hint_tuj_destroycasesdestriction,"Press <action id=""Bash""/> to destroy the cases holding the loot. Then collect it by holding <action id=""Use""/>.",
/hint_tut_stealthkilldescription,"Press <action id=""Bash""/> when behind an enemy while undetected to perform a stealth takedown ",
/hint_tuj_crouchdescription,"Press <action id=""Crouch""/> to crouch.",
/hint_tut_retrievelootdescription,"Press <action id=""DropWieldable""/> near the van's trunk to throw the bags inside.",
/hint_tut_droppingdescription,"Press <action id=""DropWieldable""/> to drop the currently equipped object.",
/hint_tuj_jumpdescription,"Press <action id=""Jump""/> to jump or climb over obstacle.",
/hint_tuj_equipcrowbardescription,"Press <action id=""MountSlot1""/> to equip Crowbar",
/hint_tuj_pingdescription,"Press <action id=""Ping""/> while looking at objects or enemies to mark them for your team.",
/hint_tuj_screamdescription,"Press <action id=""Shout""/> to intimidate civilians. Then zip tie them by holding <action id=""Use""/>.",
/hint_tut_holsterdescription,"Press <action id=""SwitchHolsterWeapon""/> to holster the weapon.",
/hint_tuj_cameracontrollerdescription,"Press <action id=""Use""/> to take control of the security monitor. Then hold <action id=""Use""/> to disable cameras.",
/hint_tut_subduedescription,"Press <action id=""Use""/> when behind somebody to subdue them.",
/hint_tuj_followalldescription1,"Press <action id=""WheelMenu""/> then press <action id=""BotFollow""/> to have your teammates follow you.",
/meta_crew_heister_progression,Progression,
/meta_crew_promotion_promotioncomplete,Promotion Complete,
/meta_crew_promotion_text,"Promotion increases health, improves combat abilities, adds or upgrades perks and gives new equipment.",
/meta_crew_promotion_title,Promotion rewards,
/meta_crew_heister_refresh,Refresh characters for hire,
/meta_crew_weapon_refresh,Refresh weapons for sale,
/meta_crew_lobby_requiredslot,Required,
/hint_tut_revives,Revives,
/meta_crew_revive_count,Revives ({count}×),
/meta_crew_tier_1,Rookie character,
/hint_tut_retrieveloot,Securing the loot,
/hint_tuj_shooting,Shooting,
/hint_tuj_shootingdescription,Shooting your firearm in public without silencer will alert nearby enemies and trigger a response from law enforcement,
/meta_crew_lobby_start,Start mission,
/meta_crew_heister_stats,Stats,
/hint_tut_stealthkill,Stealth takedown,
/hint_tut_subdue,Subdue,
/hint_tuj_guardscream,Subdue and zip tie the guard,
/hint_tuj_strikes,Suspicion strikes,
/meta_crew_weapon_switch-equipment,Switch equipment,
/meta_crew_weapon_switch,Switch weapon,
/meta_crew_weapon_take-equipment,Take equipment from {Heister},
/meta_crew_weapon_take,Take weapon from {Heister},
/meta_crew_heister_owned_title,Team,
/hint_tuj_followall,Team commands,
/hint_tut_ping-guard,Team commands,
/meta_crew_heister_title,Team overview,
/hint_tut_revives_count,The icon next to the healthbar shows available revives,
/meta_crew_heister_unique,Unique,
/hint_tut_cameradescription,"Use <action id=""Ability1""/> to take a picture",
/hint_tuj_followalldescription2,Use the 'Follow me' command to have everyone regroup on you.,
/hint_tut_camera,Using camera,
/hint_tut_flashlight,Using flashlight,
/meta_crew_tier_2,Veteran character,
/meta_crew_weapon_title,Weapon overview,
/meta_crew_weapon_buyback_title,Weapon recovery,
/meta_xp,XP,
/hint_tuj_guardscreamdescription,"You can subdue unsuspecting individuals by pressing <action id=""Use""/> on them. Then hold <action id=""Use""/> to zip tie them.",
/hint_tuj_ziptie,Zip tying,
/meta_crew_heister_missioncut_percentage,{0}%,
/meta_crew_heister_revive,{Current}/{Overall},
/meta_crew_heister_fullname,{Name} {Surname},
ST_99p_Cutscenes/meta_99p_HeliCrew_choice,Do you want to pay the helicopter crew for the Cagnali assault mission now?,
ST_99p_Cutscenes/meta_99p_MissilesTrade_choice,Do you want to purchase missiles for the Cagnali assault mission now?,
ST_99p_Cutscenes/meta_99p_upgrade_postpone,I'll let you know later.,
ST_99p_Cutscenes/meta_99p_favor,Use favor,
ST_99p_Cutscenes/meta_99p_UpgradeArmy_choice,Would you like to provide your army with better equipment?,
ST_99p_MIssions/meta_99p_99problems_title,99 Problems,
ST_99p_MIssions/meta_99p_distraction_title,A Distraction,
ST_99p_MIssions/meta_99p_distraction_description,Attack Cagnali's turf to provide a distraction and split her forces.,
ST_99p_MIssions/meta_99p_weaponstorage_description,Blow up a fortified parking structure with Cagnali's stash of weapons.,
ST_99p_MIssions/meta_99p_weaponstorage_task,Blow up the weapon storage,
ST_99p_MIssions/meta_99p_missilestrade_task,Buy missiles for the chopper,
ST_99p_MIssions/meta_99p_cagnalidiedcleanupnotification_nftitle,Cagnali Died,
ST_99p_MIssions/meta_99p_cagnalidiedcleanupnotification_nfdescription,Cagnali’s Order storyline ended because Cagnali’s gang has been eliminated.,
ST_99p_MIssions/meta_99p_eliminateofficers_title,Eliminate Officers,
ST_99p_MIssions/meta_99p_missilestrade_description,Equip the chopper with special Stinger missiles.,
ST_99p_MIssions/meta_99p_99problems_task,Finish off Cagnali,
ST_99p_MIssions/meta_99p_hirechopper_title,Hire Chopper,
ST_99p_MIssions/meta_99p_hirechopper_description,Hire an attack chopper for the hit on Cagnali.,
ST_99p_MIssions/meta_99p_hirechopper_task,Hire an attack helicopter,
ST_99p_MIssions/meta_99p_compound_task,Hit Cagnali's forces,
ST_99p_MIssions/meta_99p_distraction_task,Hit Cagnali's territory,
ST_99p_MIssions/meta_99p_upgradearmy_description,Invest in your army to stand a better chance against Cagnali.,
ST_99p_MIssions/meta_99p_99problems_description,It's time to get Cagnali out of the game.,
ST_99p_MIssions/meta_99p_killengineer_task,Kill Cagnali's chief engineer,
ST_99p_MIssions/meta_99p_eliminateofficers_task,Kill all Cagnali's officers,
ST_99p_MIssions/meta_99p_missilestrade_title,Missiles for the Chopper,
ST_99p_MIssions/meta_99p_killengineer_description,Take out Cagnali's chief engineer.,
ST_99p_MIssions/meta_99p_eliminateofficers_description,Take out Cagnali's officers.,
ST_99p_MIssions/meta_99p_compound_title,The Compound,
ST_99p_MIssions/meta_99p_weaponstorage_title,The Weapon Storage,
ST_99p_MIssions/meta_99p_upgradearmy_title,Upgrade Army,
ST_99p_MIssions/meta_99p_upgradearmy_task,Upgrade your army,
ST_99p_MIssions/meta_99p_compound_description,Weaken Cagnali's forces by killing as many as you can.,
ST_99p_MIssions/meta_99p_killengineer_title,Wench's Wrench,
